ML_USE,GCS_FILE_PATH,LABEL,X_MIN,Y_MIN,X_MAX,Y_MIN,X_MAX,Y_MAX,X_MIN,Y_MAX
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/57_jpg.rf.bc637630ff16ce9b81cc71c80833af20.jpg,ER_3,0.3046875,0.490625,,,0.38046875,0.52890625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/57_jpg.rf.bc637630ff16ce9b81cc71c80833af20.jpg,ER_18,0.38125,0.4875,,,0.434375,0.525,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/57_jpg.rf.bc637630ff16ce9b81cc71c80833af20.jpg,ER_27,0.4390625,0.48125,,,0.48984375,0.521875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/57_jpg.rf.bc637630ff16ce9b81cc71c80833af20.jpg,ER_37,0.49375,0.48125,,,0.54921875,0.51640625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/57_jpg.rf.bc637630ff16ce9b81cc71c80833af20.jpg,ER_1,0.55,0.475,,,0.6046875,0.5171875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/182_jpg.rf.b50fcbe35519912e6b9e96a98937b8e4.jpg,ER_5,0.303125,0.33125,,,0.3876953125,0.3965828125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/182_jpg.rf.b50fcbe35519912e6b9e96a98937b8e4.jpg,ER_18,0.2953125,0.3921875,,,0.37666093749999996,0.4657234375,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/182_jpg.rf.b50fcbe35519912e6b9e96a98937b8e4.jpg,ER_38,0.2796875,0.4609375,,,0.3640625,0.532715625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/182_jpg.rf.b50fcbe35519912e6b9e96a98937b8e4.jpg,ER_52,0.26875,0.5328125,,,0.37216875,0.6265625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/182_jpg.rf.b50fcbe35519912e6b9e96a98937b8e4.jpg,ER_27,0.2484375,0.625,,,0.36572343749999997,0.7340828125,,
